NAME                                        TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)                         AGE
aux-entry                                   ClusterIP      10.96.10.181    <none>        80/TCP,443/TCP                  16h
r4-infrastructure-kong-manager              NodePort       10.96.247.103   <none>        8002:31106/TCP,8445:32374/TCP   16h
r4-infrastructure-kong-proxy                LoadBalancer   10.96.83.84     <pending>     80:32080/TCP,443:32443/TCP      16h
r4-infrastructure-kong-validation-webhook   ClusterIP      10.96.72.165    <none>        443/TCP                         16h
r4-infrastructure-prometheus-alertmanager   ClusterIP      10.96.170.121   <none>        80/TCP                          16h
r4-infrastructure-prometheus-server         ClusterIP      10.96.92.36     <none>        80/TCP                          16h
service-ricplt-a1mediator-http              ClusterIP      10.96.249.46    <none>        10000/TCP                       16h
service-ricplt-a1mediator-rmr               ClusterIP      10.96.65.150    <none>        4561/TCP,4562/TCP               16h
service-ricplt-alarmmanager-http            ClusterIP      10.96.224.163   <none>        8080/TCP                        16h
service-ricplt-alarmmanager-rmr             ClusterIP      10.96.14.110    <none>        4560/TCP,4561/TCP               16h
service-ricplt-appmgr-http                  ClusterIP      10.96.224.180   <none>        8080/TCP                        3h20m
service-ricplt-appmgr-rmr                   ClusterIP      10.96.146.221   <none>        4561/TCP,4560/TCP               3h20m
service-ricplt-dbaas-tcp                    ClusterIP      None            <none>        6379/TCP                        16h
service-ricplt-e2mgr-http                   ClusterIP      10.96.189.205   <none>        3800/TCP                        16h
service-ricplt-e2mgr-rmr                    ClusterIP      10.96.59.29     <none>        4561/TCP,3801/TCP               16h
service-ricplt-e2term-prometheus-alpha      ClusterIP      10.96.101.240   <none>        8088/TCP                        16h
service-ricplt-e2term-rmr-alpha             ClusterIP      10.96.241.204   <none>        4561/TCP,38000/TCP              16h
service-ricplt-e2term-sctp-alpha            NodePort       10.96.201.226   <none>        36422:32222/SCTP                16h
service-ricplt-o1mediator-http              ClusterIP      10.96.49.96     <none>        9001/TCP,8080/TCP,3000/TCP      16h
service-ricplt-o1mediator-tcp-netconf       NodePort       10.96.109.228   <none>        830:30830/TCP                   16h
service-ricplt-rtmgr-http                   ClusterIP      10.96.207.255   <none>        3800/TCP                        16h
service-ricplt-rtmgr-rmr                    ClusterIP      10.96.38.244    <none>        4561/TCP,4560/TCP               16h
service-ricplt-submgr-http                  ClusterIP      None            <none>        3800/TCP                        16h
service-ricplt-submgr-rmr                   ClusterIP      None            <none>        4560/TCP,4561/TCP               16h
service-ricplt-vespamgr-http                ClusterIP      10.96.113.124   <none>        8080/TCP,9095/TCP               16h
